Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.32,-.05,-.39,-.17,-.01,-.96,-.50,-.27,-.22,-.12,-.04,.05,.68
1881,-.10,-.19,-.01,-.33,.05,-.07,-.86,-.49,-.15,.03,.08,-.06,-.07,.60
1882,-.11,-.22,.00,-.29,-.07,.03,-1.44,-.28,-.10,-.10,-.05,.03,.04,.63
1883,-.19,-.32,-.06,-.37,-.20,.01,-.33,-.61,-.23,-.24,-.17,-.01,.07,.50
1884,-.29,-.44,-.15,-.57,-.21,-.13,-1.30,-.61,-.42,-.23,-.18,-.18,-.02,.65
1885,-.31,-.41,-.23,-.59,-.15,-.25,-1.17,-.68,-.43,-.09,-.21,-.30,-.15,.83
1886,-.32,-.42,-.23,-.52,-.25,-.22,-1.24,-.49,-.41,-.25,-.25,-.21,-.20,.59
1887,-.35,-.41,-.29,-.46,-.32,-.27,-1.55,-.47,-.26,-.32,-.33,-.27,-.26,.32
1888,-.18,-.23,-.13,-.41,.08,-.28,-1.41,-.43,-.21,.07,.09,-.31,-.23,.16
1889,-.11,-.17,-.05,-.27,.05,-.16,-.76,-.19,-.22,.00,.11,-.15,-.16,.45
1890,-.37,-.41,-.33,-.46,-.41,-.22,-1.19,-.53,-.27,-.34,-.48,-.17,-.28,.16
1891,-.23,-.26,-.20,-.41,-.12,-.21,-1.23,-.28,-.33,-.03,-.21,-.17,-.24,-.15
1892,-.26,-.37,-.15,-.40,-.30,-.07,-1.32,-.58,-.12,-.33,-.27,.03,-.22,.09
1893,-.31,-.45,-.18,-.47,-.38,-.06,-.93,-.50,-.36,-.42,-.35,.04,-.21,-.04
1894,-.31,-.39,-.23,-.33,-.35,-.24,-1.39,-.25,-.12,-.48,-.22,-.15,-.35,-.37
1895,-.22,-.29,-.16,-.38,-.08,-.26,-.97,-.44,-.19,-.13,-.02,-.20,-.32,-.58
1896,-.11,-.20,-.02,-.36,.10,-.15,-1.27,-.34,-.15,.06,.14,-.15,-.14,.26
1897,-.12,-.17,-.06,-.34,.15,-.24,-.80,-.39,-.20,.10,.19,-.20,-.28,.41
1898,-.27,-.28,-.27,-.31,-.26,-.26,-1.20,-.15,-.20,-.24,-.28,-.28,-.21,.38
1899,-.18,-.20,-.15,-.20,-.15,-.19,-1.09,.01,-.13,-.20,-.10,-.17,-.22,.59
1900,-.09,-.08,-.09,-.17,.14,-.30,-.62,-.07,-.13,.08,.20,-.29,-.29,.28
1901,-.15,-.10,-.20,-.12,-.06,-.30,-.57,-.02,-.07,-.06,-.06,-.27,-.34,.26
1902,-.29,-.34,-.24,-.50,-.08,-.35,-1.63,-.40,-.27,-.07,-.10,-.28,-.43,-.04
1903,-.38,-.38,-.38,-.46,-.32,-.38,-.51,-.37,-.49,-.26,-.37,-.35,-.40,-.47
1904,-.48,-.49,-.48,-.50,-.51,-.44,-.29,-.54,-.52,-.48,-.54,-.37,-.49,-1.29
1905,-.28,-.31,-.25,-.39,-.14,-.35,-.19,-.17,-.59,-.18,-.11,-.33,-.37,-.31
1906,-.22,-.22,-.22,-.23,-.21,-.23,-.40,.01,-.34,-.22,-.20,-.20,-.23,-.68
1907,-.39,-.47,-.31,-.58,-.33,-.29,-.76,-.69,-.46,-.32,-.34,-.21,-.37,-1.17
1908,-.43,-.46,-.40,-.47,-.46,-.35,-.45,-.50,-.47,-.44,-.48,-.27,-.48,.70
1909,-.47,-.47,-.47,-.48,-.48,-.43,-.82,-.50,-.39,-.45,-.52,-.36,-.52,-.54
1910,-.42,-.43,-.42,-.38,-.50,-.36,-.73,-.15,-.45,-.51,-.49,-.31,-.45,.19
1911,-.43,-.40,-.46,-.38,-.43,-.46,-.37,-.35,-.41,-.42,-.45,-.42,-.52,.08
1912,-.35,-.46,-.24,-.58,-.19,-.35,-.66,-.71,-.47,-.27,-.10,-.34,-.29,-1.61
1913,-.35,-.43,-.26,-.42,-.31,-.33,-.68,-.24,-.46,-.45,-.17,-.26,-.40,-1.01
1914,-.15,-.19,-.10,-.24,-.07,-.17,-.60,-.06,-.26,-.13,-.02,-.15,-.18,-.34
1915,-.12,-.11,-.12,-.18,-.01,-.20,-.61,-.05,-.16,.00,-.01,-.13,-.23,-1.96
1916,-.33,-.37,-.29,-.30,-.44,-.21,-.35,-.42,-.21,-.47,-.41,-.20,-.17,-1.02
1917,-.44,-.55,-.34,-.42,-.65,-.17,-.69,-.37,-.40,-.73,-.56,-.21,-.09,.09
1918,-.28,-.37,-.19,-.38,-.32,-.12,-1.22,-.16,-.30,-.36,-.29,-.04,-.22,-.25
1919,-.26,-.34,-.19,-.41,-.20,-.21,-.86,-.44,-.28,-.23,-.16,-.13,-.32,.22
1920,-.26,-.26,-.25,-.19,-.27,-.31,.00,-.06,-.33,-.37,-.17,-.17,-.48,-1.12
1921,-.18,-.08,-.28,.05,-.26,-.30,-.06,.27,-.06,-.27,-.25,-.22,-.38,-.81
1922,-.28,-.25,-.30,-.21,-.33,-.26,-.42,-.29,-.10,-.32,-.35,-.24,-.28,-.25
1923,-.25,-.19,-.31,-.11,-.30,-.32,.10,-.03,-.23,-.31,-.28,-.25,-.41,-.52
1924,-.26,-.15,-.35,-.10,-.25,-.42,.25,-.15,-.17,-.23,-.27,-.38,-.46,-.50
1925,-.21,-.11,-.30,-.01,-.25,-.36,-.19,.27,-.14,-.26,-.23,-.23,-.54,-.83
1926,-.09,.04,-.20,.05,.03,-.39,.48,.27,-.20,.02,.05,-.34,-.45,-.61
1927,-.20,-.10,-.29,-.10,-.14,-.38,-.03,-.12,-.11,-.11,-.18,-.30,-.45,-1.35
1928,-.19,-.08,-.29,-.04,-.15,-.39,.62,-.07,-.21,-.13,-.16,-.29,-.48,-2.09
1929,-.34,-.30,-.38,-.33,-.27,-.44,.07,-.51,-.35,-.25,-.29,-.41,-.44,-1.05
1930,-.14,.02,-.29,.09,-.11,-.42,.49,.16,-.07,-.08,-.13,-.33,-.47,-2.57
1931,-.09,.05,-.22,.04,.05,-.42,.46,.09,-.12,.08,.03,-.42,-.40,-.38
1932,-.16,-.05,-.27,.06,-.19,-.34,.28,.31,-.18,-.19,-.19,-.20,-.53,-.96
1933,-.29,-.26,-.33,-.23,-.31,-.33,-.38,-.38,-.10,-.30,-.32,-.21,-.49,-1.12
1934,-.14,.00,-.27,.18,-.28,-.26,.69,.41,-.10,-.28,-.29,-.16,-.38,-.54
1935,-.20,-.08,-.32,-.02,-.22,-.37,.22,.07,-.14,-.18,-.25,-.30,-.42,-1.69
1936,-.16,-.03,-.28,-.02,-.16,-.30,.21,.19,-.23,-.05,-.26,-.27,-.33,-.01
1937,-.04,.13,-.20,.19,-.07,-.22,1.03,.10,.01,.03,-.16,-.20,-.25,.39
1938,-.03,.13,-.20,.34,-.26,-.09,1.11,.45,.05,-.19,-.33,-.06,-.11,-.84
1939,-.03,.09,-.15,.24,-.16,-.12,.50,.34,.10,-.14,-.18,-.05,-.19,-1.58
1940,.12,.17,.07,.12,.25,-.06,.91,.05,-.07,.25,.25,.03,-.20,-.03
1941,.18,.23,.15,.02,.47,-.05,-.17,-.05,.12,.54,.40,.04,-.15,-.44
1942,.05,.10,.00,.09,.07,-.01,.29,-.01,.10,.12,.02,.06,-.05,-.87
1943,.07,.15,-.02,.33,-.11,.04,1.13,.29,.12,-.11,-.10,.07,.00,1.16
1944,.21,.27,.15,.38,.18,.07,.99,.51,.12,.11,.24,.19,-.09,-.19
1945,.09,.10,.09,.09,.17,-.02,.42,-.02,.06,.11,.22,.04,.00,-1.84
1946,-.07,.04,-.18,.07,-.05,-.23,-.16,-.01,.19,-.02,-.09,-.22,-.24,.02
1947,-.04,.06,-.14,.13,-.07,-.15,.91,-.12,.05,-.03,-.12,-.19,-.08,.04
1948,-.10,-.01,-.20,.14,-.20,-.21,.11,.34,.02,-.23,-.17,-.19,-.19,-1.00
1949,-.11,-.03,-.18,.11,-.21,-.19,.17,.16,.06,-.24,-.17,-.17,-.14,-1.26
1950,-.18,-.17,-.20,-.09,-.30,-.12,.03,-.32,.03,-.30,-.30,-.06,-.16,-.72
1951,-.07,.04,-.17,.08,-.07,-.20,-.02,.03,.13,-.01,-.13,-.22,-.16,-.18
1952,.01,.05,-.03,.10,.01,-.08,.12,-.07,.19,-.01,.03,-.09,-.02,-.38
1953,.07,.23,-.08,.34,.07,-.19,.82,.36,.17,.08,.05,-.08,-.24,-1.34
1954,-.14,-.04,-.25,.02,-.22,-.21,.52,-.22,.01,-.15,-.29,-.17,-.20,-.77
1955,-.14,-.10,-.20,.02,-.34,-.05,-.44,-.08,.23,-.29,-.38,-.15,-.08,1.28
1956,-.20,-.26,-.16,-.25,-.32,.00,-.29,-.47,-.09,-.28,-.37,-.13,.02,.67
1957,.04,.04,.05,.04,.07,.02,.07,.22,-.09,.06,.09,-.09,-.01,.45
1958,.07,.18,-.03,.11,.20,-.15,-.07,.18,.13,.26,.14,-.08,-.08,-.55
1959,.03,.12,-.06,.15,.07,-.16,.47,.18,.04,.07,.08,-.03,-.26,-.37
1960,-.02,.09,-.12,.10,.03,-.20,.37,-.05,.11,.06,-.01,-.10,-.07,-.79
1961,.06,.09,.02,.19,-.03,.04,-.12,.37,.17,-.06,.01,.14,-.18,.14
1962,.04,.16,-.08,.29,-.05,-.10,.69,.33,.14,-.04,-.06,.09,-.07,-.81
1963,.07,.16,-.02,.18,.12,-.10,.03,.33,.13,.14,.10,-.11,-.17,.08
1964,-.20,-.19,-.20,-.24,-.13,-.24,-.67,-.22,-.11,-.13,-.13,-.30,-.07,-.38
1965,-.10,-.13,-.08,-.17,-.03,-.14,-.20,-.23,-.11,-.07,.02,-.23,-.03,-.08
1966,-.05,-.01,-.09,-.13,.09,-.15,-.70,-.16,.08,.17,.00,-.23,-.14,.13
1967,-.02,.03,-.07,.12,-.14,-.01,.45,.26,-.07,-.11,-.17,-.09,-.02,.28
1968,-.07,-.06,-.09,-.10,-.05,-.09,-.24,-.02,-.09,-.01,-.09,-.14,.00,-.11
1969,.07,-.01,.16,-.26,.34,.04,.04,-.59,-.16,.36,.32,.00,.13,.01
1970,.03,-.03,.09,-.10,.07,.12,-.19,-.13,-.06,.07,.06,.10,.03,.36
1971,-.09,-.16,-.03,-.07,-.26,.11,-.09,.00,-.11,-.30,-.22,.02,.16,.33
1972,.01,-.18,.22,-.35,.16,.17,-.42,-.50,-.23,.06,.27,.16,-.02,.60
1973,.16,.10,.22,.12,.18,.17,.20,.26,.01,.07,.29,.22,.07,.28
1974,-.08,-.20,.03,-.17,-.20,.17,-.28,-.10,-.19,-.23,-.17,.22,-.09,.55
1975,-.02,-.06,.02,.11,-.24,.15,.18,.36,-.06,-.31,-.17,.14,.14,.22
1976,-.11,-.22,.00,-.27,-.12,.07,-.07,-.33,-.29,-.14,-.11,.11,.22,-.37
1977,.17,.11,.23,.13,.15,.23,.18,.22,.05,.09,.22,.21,.31,.15
1978,.06,.02,.11,-.03,.08,.14,-.07,.00,-.04,.10,.06,.21,.13,-.11
1979,.16,.08,.24,-.03,.25,.22,-.59,.06,.08,.24,.27,.29,.33,-.24
1980,.27,.16,.38,.06,.29,.45,.32,.01,.01,.31,.28,.35,.37,.96
1981,.33,.38,.27,.50,.18,.35,1.30,.77,.08,.21,.15,.28,.38,.52
1982,.13,.05,.22,-.08,.27,.16,-.34,.07,-.08,.24,.30,.18,.32,-.23
1983,.31,.25,.37,.23,.43,.23,.30,.67,-.06,.29,.58,.21,.41,-.03
1984,.16,.04,.28,.02,.18,.28,.32,.08,-.12,.07,.30,.16,.32,.59
1985,.12,-.02,.25,-.05,.09,.31,.29,-.28,-.01,.03,.15,.30,.45,.09
1986,.18,.12,.24,.10,.22,.21,.02,.24,.03,.16,.28,.25,.25,-.04
1987,.33,.26,.41,.06,.58,.26,-.29,.13,.13,.54,.61,.32,.25,.10
1988,.41,.37,.44,.41,.38,.44,.79,.51,.22,.32,.44,.38,.20,1.14
1989,.29,.28,.29,.42,.15,.34,.41,.66,.27,.08,.21,.36,.30,.36
1990,.44,.51,.37,.61,.36,.37,.65,.83,.47,.35,.37,.37,.37,.33
1991,.41,.41,.41,.47,.37,.41,.80,.60,.27,.32,.42,.32,.29,1.01
1992,.22,.12,.32,.07,.29,.28,-.14,.36,-.03,.20,.38,.21,.33,.41
1993,.24,.19,.29,.13,.31,.24,.65,.24,-.09,.27,.35,.27,.39,-.13
1994,.31,.36,.26,.43,.30,.20,.39,.46,.43,.26,.34,.27,.23,-.09
1995,.44,.58,.31,.70,.43,.21,1.38,.96,.33,.40,.45,.29,.15,.07
1996,.33,.28,.39,.26,.32,.43,.83,.20,.12,.30,.33,.33,.29,1.07
1997,.47,.53,.41,.55,.51,.32,.78,.89,.26,.50,.52,.42,.36,-.06
1998,.62,.72,.52,.81,.69,.33,1.00,.93,.68,.60,.79,.39,.31,.20
1999,.39,.49,.29,.73,.20,.31,.48,.83,.76,.14,.26,.47,.19,.04
2000,.40,.50,.29,.71,.24,.30,1.13,.76,.55,.19,.28,.42,.10,.32
2001,.53,.63,.43,.80,.41,.43,1.07,.81,.70,.39,.43,.56,.24,.38
2002,.62,.71,.53,.83,.58,.47,1.36,.97,.57,.54,.62,.47,.31,.80
2003,.60,.73,.49,.82,.61,.38,1.54,.95,.51,.58,.64,.43,.24,.47
2004,.53,.67,.40,.75,.53,.31,.67,.93,.67,.54,.53,.47,.23,-.11
2005,.67,.83,.51,.99,.60,.43,2.00,1.17,.55,.59,.62,.49,.18,.75
2006,.62,.78,.45,.95,.54,.38,1.66,1.06,.65,.53,.55,.51,.19,.33
2007,.64,.81,.46,1.08,.45,.45,1.95,1.30,.67,.42,.47,.49,.07,1.12
2008,.51,.64,.39,.87,.36,.37,1.41,1.03,.60,.31,.41,.52,.09,.43
2009,.63,.69,.57,.74,.67,.48,1.26,.58,.66,.64,.70,.59,.15,.79
2010,.70,.87,.53,.98,.66,.46,2.03,.86,.72,.70,.63,.63,.20,.41
2011,.58,.70,.46,.93,.35,.54,2.14,.90,.56,.37,.34,.64,.18,.97
2012,.62,.76,.47,.98,.51,.41,1.94,.89,.72,.45,.56,.56,.19,.35
2013,.65,.75,.54,.88,.56,.53,1.22,1.03,.67,.56,.56,.62,.23,.80
2014,.73,.90,.56,1.05,.65,.52,1.84,1.14,.75,.68,.62,.71,.18,.58
2015,.87,1.13,.61,1.26,.92,.40,1.71,1.45,1.00,.94,.89,.72,.18,-.26
2016,.99,1.28,.71,1.52,.97,.49,3.12,1.43,1.06,.92,1.03,.65,.25,.43
2017,.90,1.12,.67,1.34,.79,.61,2.28,1.36,1.02,.82,.76,.74,.35,.68
2018,.82,.99,.65,1.20,.64,.69,1.91,1.10,1.04,.69,.59,.78,.37,1.08